Metric,BEFORE,AFTER,DELTA
AvgBATCH (Silhouette),-0.15706989169120789,0.882789134979248,1.039859026670456
AvgBIO (ARI),0.8495339992141346,0.959642375277807,0.11010837606367241
AvgBIO (NMI),0.6940938876235606,0.8829630861778911,0.1888691985543305
